score,physics_rank
268,420091
267,420373
266,420686
265,420980
264,421299
263,421591
262,421889
261,422204
260,422490
259,422794
258,423058
257,423336
256,423577
255,423858
254,424107
253,424361
252,424624
251,424872
250,425106
249,425361
248,425574
247,425781
246,426005
245,426219
244,426408
243,426607
242,426801
241,426994
240,427171
239,427368
238,427550
237,427707
236,427869
235,428019
234,428177
233,428318
232,428461
231,428592
230,428735
229,428883
228,428992
227,429108
226,429232
225,429344
224,429470
223,429592
222,429704
221,429804
220,429892
219,429995
218,430072
217,430191
216,430295
215,430388
214,430475
213,430552
212,430632
211,430712
210,430793
209,430852
208,430920
207,430980
206,431037
205,431096
204,431162
203,431213
202,431256
201,431324
200,431360
199,431424
198,431478
197,431527
196,431574
195,431617
194,431665
193,431729
192,431776
191,431814
190,431855
189,431902
188,431942
187,431982
186,432024
185,432064
184,432099
183,432131
182,432170
181,432198
180,432231
179,432262
178,432293
177,432323
176,432351
175,432379
174,432401
173,432430
172,432455
171,432489
170,432515
169,432540
168,432557
167,432581
166,432603
165,432625
164,432643
163,432664
162,432685
161,432709
160,432727
159,432753
158,432778
157,432798
156,432817
155,432838
154,432855
153,432870
152,432894
151,432909
150,432919
149,432936
148,432954
147,432969
146,432981
145,432993
144,433005
143,433013
142,433028
141,433037
140,433045
139,433049
138,433059
137,433074
136,433084
135,433090
134,433096
133,433107
132,433116
131,433121
130,433125
129,433131
128,433138
127,433144
126,433152
125,433159
124,433171
123,433180
122,433186
121,433188
120,433200
119,433210
118,433215
117,433224
116,433227
115,433232
114,433244
113,433250
112,433261
111,433273
110,433280
109,433292
108,433296
107,433312
106,433323
105,433333
104,433340
103,433346
102,433353
101,433359
100,433366
