score,physics_rank,history_rank
140,439850,291791
139,439865,291808
138,439874,291815
137,439885,291829
136,439895,291842
135,439920,291851
134,439931,291857
133,439947,291867
132,439962,291877
131,439973,291889
130,439980,291898
129,439986,291912
128,439991,291919
127,440001,291926
126,,291937
125,440018,291953
124,440022,291962
123,440034,291969
122,440040,291978
121,440043,291990
120,440050,291994
119,440062,292001
118,440071,292006
117,440076,292015
116,440081,292025
115,440090,292039
114,440096,292049
113,440102,292063
112,440115,292074
111,440125,292086
110,440135,292098
109,440142,292107
108,440147,292112
107,440155,292123
106,440160,292131
105,440168,292139
104,440178,292152
103,440185,292165
102,440192,292175
101,440198,292185
100,440208,292200
